Product name;Old price, PLN;New price, PLNDiscount, %
Zgrzewarka próżniowa SilverCrest 160 model 2021 3m;429.0;335.55;21.0
ROBOT KUCHENNY PLANETARNY BlackChef 1600W 6L;1300.0;599.0;53.0
OSUSZACZ POWIETRZA POCHŁANIACZ WILGOCI 1700ml 90W;700.0;379.0;45.0
Suszarka do włosów REVLON Pro Collection RVDR 5222;369.0;233.75;36.0
BEZPRZEWODOWE SŁUCHAWKI BLUETOOTH NAUSZNE BAS MP3;129.0;40.0;68.0
ROBOT KUCHENNY MULTIMAX X-1200-W BLENDER MŁYNEK;599.0;399.0;33.0
Słuchawki bezprzewodowe bluetooth 5.0 F9 T;249.0;49.0;80.0
ROBOT KUCHENNY MULTIMAX X-1500-W BLENDER MŁYNEK;799.0;449.0;43.0
Asus VivoBook 15 X512DA 8GB 512SSD Radeon FHD W10;3999.0;2899.0;27.0
Lenovo IdeaPad 3 14 Intel Gold 4GB 128SSD KAM W10;2900.0;1799.0;37.0
Słuchawki bezprzewodowe i500 TWS BT5.0 iOS Android;189.99;59.99;68.0
TAŚMA LED RGB USB PILOT PODŚWIETLENIE TV LUSTRA;99.0;40.0;59.0
iPhone 11 Pro 256GB /Kolory+ Indukcja+ Certyfikat;5199.0;3699.0;28.0
SILVERCREST Pakowarka próżniowa 160W + GRATIS 3M;399.0;355.55;10.0
SŁUCHAWKI BEZPRZEWODOWE inPods DO IPHONE HUAWEI;199.99;40.0;79.0
SŁUCHAWKI BLUETOOTH do SAMSUNG HUAWEI XIAOMI APPLE;299.99;55.0;81.0
Lenovo IdeaPad 5 i7 12GB 512SSD FHD Touch IPS W10;4890.0;3399.0;30.0
SŁUCHAWKI BEZPRZEWODOWE do Samsung, Xiaomi, Huawei;299.0;129.0;56.0
Słuchawki bezprzewodowe BT G02 Powerbank;299.0;139.0;53.0
Oryginalny Windows 10 Professional 32/64bit PL;99.0;69.0;30.0
Słuchawki TWS A16 do Samsung,Xiaomi,Huawei,Iphone;169.0;69.0;59.0
SŁUCHAWKI BEZPRZEWODOWE WODOODPORNE Bluetooth V5.1;159.0;79.0;50.0
ROBOT KUCHENNY PLANETARNY MIKSER FERRO 1700W 4,5L;999.0;399.0;60.0
iPhone 11 Pro Max 64GB /Kolory/Indukcja/Certyfikat;4895.0;3699.0;24.0
Słuchawki bezprzewodowe bluetooth 5.0 TWS F9+;159.0;49.99;68.0
Dzbanek filtr trwalszy niż szklany Aquaphor A5;67.0;64.9;3.0
Słuchawki z mikrofonem do pracy zdalnej nauki jack;49.99;29.5;40.0
ZŁOTY HP 15 RYZEN 5 8GB 256SSD RADEON USB-C W10;2999.0;2199.0;26.0
Asus ZenBook 14 R5 8GB 256SSD MX350 FHD IPS W10;4599.0;3299.0;28.0
Apple iPhone XR 64GB /Kolory +Indukcja +Certyfikat;2499.0;1799.0;28.0
Prasowacz parowy PAROWNICA steamer żelazko MOZANO;1199.0;529.99;55.0
Słuchawki do iPhone APPLE 7 8 PLUS X XS MAX 11 PRO;79.0;34.9;55.0
Lenovo X1 Carbon G4 i7-6600U 16GB 256GB FHD WIN 10;3499.0;2739.0;21.0
MASZYNA DO SZYCIA ZESTAW NIĆ IGŁA NAPĘD ZASILACZ;239.0;79.0;66.0
100 szt. MASECZKA CHIRURGICZNA MEDYCZNA CE;50.0;45.0;9.0
MASKA MASECZKA CHIRURGICZNA mocna 3w medyczna 50x;75.0;21.5;71.0
PULSOKSYMETR NAPALCOWY MEDYCZNY OLED PULSOMETR;129.99;62.99;51.0
OstroVit Vitamin D3 4000 + K2 100 tabs K2MK-7;25.0;12.77;48.0
SFD WITAMINA D3 4000 + K2 MK-7 120 tab 240 PORCJI;22.99;19.99;13.0
SFD MAG B6 FORTE 90TAB MAGNEZ WITAMINA B6;18.99;12.99;31.0
Spray do dezynfekcji powierzchni MEDISEPT Papaya;28.99;23.19;20.0
OstroVit Vitamin C 90 tabs ODPORNOŚĆ ANTYOKSYDANT;19.9;11.9;40.0
OstroVit Vitamin B Complex 90 tabs;14.9;9.9;33.0
OstroVit ADEK 200 tabs WITAMINA ADEK MAX DAWKA;25.9;19.9;23.0
SFD VITAMIN B-COMPLEX 90TAB WITAMINA B6 B12;18.99;12.99;31.0
SFD D3 + K2 MK-7 200 TABLETEK / NA 200 DNI;19.99;16.89;15.0
SFD VITA MIN C 1000 90TAB+BIOFLAWONOIDY WITAMINA;17.99;16.89;6.0
MASKI MASKA FFP2 MASECZKA ANTYWIRUSOWA KN95 ATEST;4.99;2.99;40.0
SFD ŻEŃ-SZEŃ+GUARANA 90TAB ENERGIA GINSENG MOC;19.99;18.98;5.0
Olejek Konopny ACBD+ 15% 11ml CERTYFIKATY Promocja;149.0;96.99;34.0
OstroVit Vitamin C 500 g Kwas L-askorbinowy WIT. C;35.9;19.9;44.0
OLIMP GOLD OMEGA 3 SE 200kaps LIMITOWANA EDYCJA !;99.0;70.4;28.0
ECOMAX VITAMIN WITAMINA C 500 G KWAS L-ASKORBINOWY;39.9;18.9;52.0
OstroVit Ashwagandha VEGE 60 caps 700mg MEGA SILNA;39.9;19.9;50.0
OstroVit CHROM 200 PIKOLINIAN 200 tabl ODCHUDZANIE;25.9;12.9;50.0
OstroVit Melatonin 300 tabs MELATONINA ZDROWY SEN;29.99;11.9;60.0
SFD CHROM 200tab PIKOLINIAN ODCHUDZANIE METABOLIZM;22.99;13.99;39.0
